ICD_CODE,ATC_CODE,RELATION,FREQUENCY
4019,DRUG_36800,treats,47
42731,DRUG_36800,treats,43
4019,DRUG_97910,treats,39
5849,DRUG_36800,treats,37
5849,DRUG_93890,treats,34
4019,DRUG_12638,treats,33
5849,DRUG_97910,treats,31
4280,DRUG_93890,treats,31
42731,DRUG_97910,treats,31
4019,DRUG_93890,treats,30
4280,DRUG_12470,treats,29
42731,DRUG_12638,treats,29
4280,DRUG_79790,treats,29
4280,DRUG_36800,treats,28
42731,DRUG_93890,treats,28
42731,DRUG_79790,treats,28
5849,DRUG_83139,treats,27
4280,DRUG_12638,treats,27
4019,DRUG_79790,treats,27
4280,DRUG_83139,treats,26
42731,DRUG_83139,treats,26
4019,DRUG_83139,treats,26
2724,DRUG_36800,treats,26
5849,DRUG_12638,treats,25
42731,DRUG_12470,treats,25
42731,DRUG_18809,treats,25
5849,DRUG_79790,treats,25
4019,DRUG_12470,treats,25
5990,DRUG_36800,treats,25
5849,DRUG_16971,treats,24
4280,DRUG_16971,treats,24
25000,DRUG_36800,treats,24
4019,DRUG_65380,treats,24
42731,DRUG_18769,treats,24
42731,DRUG_78549,treats,24
5849,DRUG_12470,treats,23
486,DRUG_36800,treats,22
2724,DRUG_97910,treats,22
51881,DRUG_93890,treats,22
5990,DRUG_97910,treats,22
4280,DRUG_85419,treats,21
2859,DRUG_36800,treats,21
51881,DRUG_36800,treats,21
25000,DRUG_97910,treats,21
4019,DRUG_05522,treats,21
5990,DRUG_12638,treats,21
5849,DRUG_65380,treats,20
5849,DRUG_56289,treats,20
4280,DRUG_65380,treats,20
2449,DRUG_15657,treats,20
2449,DRUG_97910,treats,20
2449,DRUG_36800,treats,20
51881,DRUG_79790,treats,20
4019,DRUG_17057,treats,20
4019,DRUG_18809,treats,20
4019,DRUG_16971,treats,20
4019,DRUG_18769,treats,20
486,DRUG_93890,treats,20
2724,DRUG_12638,treats,20
25000,DRUG_12638,treats,19
25000,DRUG_83139,treats,19
2859,DRUG_97910,treats,19
51881,DRUG_97910,treats,19
99592,DRUG_97910,treats,19
4019,DRUG_56289,treats,19
4280,DRUG_97910,treats,19
25000,DRUG_93890,treats,19
99592,DRUG_93890,treats,19
51881,DRUG_12638,treats,19
42731,DRUG_16971,treats,18
42731,DRUG_85419,treats,18
5849,DRUG_66345,treats,18
2859,DRUG_83139,treats,18
99592,DRUG_36800,treats,18
5990,DRUG_83139,treats,18
4019,DRUG_78549,treats,18
2724,DRUG_93890,treats,18
486,DRUG_12638,treats,18
V5861,DRUG_36800,treats,18
2859,DRUG_12638,treats,18
5849,DRUG_17057,treats,17
25000,DRUG_16971,treats,17
25000,DRUG_12470,treats,17
42731,DRUG_65380,treats,17
42731,DRUG_06485,treats,17
5849,DRUG_56776,treats,17
51881,DRUG_65380,treats,17
51881,DRUG_83139,treats,17
25000,DRUG_79790,treats,17
4019,DRUG_42537,treats,17
5990,DRUG_93890,treats,17
2724,DRUG_83139,treats,17
486,DRUG_79790,treats,17
486,DRUG_83139,treats,17
42731,DRUG_17057,treats,17
51881,DRUG_31023,treats,17
4280,DRUG_64785,treats,16
4280,DRUG_06485,treats,16
5849,DRUG_22257,treats,16
2859,DRUG_56289,treats,16
4019,DRUG_15657,treats,16
4019,DRUG_66345,treats,16
4019,DRUG_56776,treats,16
4280,DRUG_00654,treats,16
42731,DRUG_31023,treats,16
5849,DRUG_18769,treats,16
42731,DRUG_15657,treats,16
42731,DRUG_65728,treats,16
0389,DRUG_93890,treats,16
42731,DRUG_56289,treats,16
42731,DRUG_94252,treats,16
2859,DRUG_93890,treats,16
2761,DRUG_36800,treats,15
70703,DRUG_36800,treats,15
41401,DRUG_36800,treats,15
5849,DRUG_18809,treats,15
0389,DRUG_36800,treats,15
5849,DRUG_83266,treats,15
4019,DRUG_31023,treats,15
5849,DRUG_78549,treats,15
25000,DRUG_18769,treats,15
2724,DRUG_12470,treats,15
99592,DRUG_12638,treats,15
486,DRUG_65380,treats,15
486,DRUG_97910,treats,15
4019,DRUG_94252,treats,15
5990,DRUG_18769,treats,15
70703,DRUG_97910,treats,14
42731,DRUG_42537,treats,14
41401,DRUG_12638,treats,14
41401,DRUG_12470,treats,14
41401,DRUG_85419,treats,14
5849,DRUG_42537,treats,14
5849,DRUG_15657,treats,14
2449,DRUG_18809,treats,14
0389,DRUG_97910,treats,14
4019,DRUG_07048,treats,14
4019,DRUG_39074,treats,14
42731,DRUG_05522,treats,14
2761,DRUG_93890,treats,14
5990,DRUG_15657,treats,14
5990,DRUG_12470,treats,14
4280,DRUG_18769,treats,14
4280,DRUG_78549,treats,14
4280,DRUG_65728,treats,14
2724,DRUG_18769,treats,14
2724,DRUG_79790,treats,14
2724,DRUG_78549,treats,14
486,DRUG_16971,treats,14
486,DRUG_12470,treats,14
2449,DRUG_78549,treats,14
0389,DRUG_12638,treats,14
2760,DRUG_97910,treats,14
5990,DRUG_56289,treats,14
51881,DRUG_77783,treats,14
42731,DRUG_34497,treats,14
42731,DRUG_56776,treats,14
5990,DRUG_78549,treats,14
V5861,DRUG_97910,treats,14
2859,DRUG_12470,treats,14
2760,DRUG_36800,treats,14
51881,DRUG_16971,treats,14
5849,DRUG_85419,treats,13
4280,DRUG_56289,treats,13
4280,DRUG_18809,treats,13
5849,DRUG_05522,treats,13
5849,DRUG_57970,treats,13
2859,DRUG_17057,treats,13
2449,DRUG_09553,treats,13
2449,DRUG_07048,treats,13
2449,DRUG_56158,treats,13
2449,DRUG_39074,treats,13
2449,DRUG_83139,treats,13
51881,DRUG_42537,treats,13
51881,DRUG_57970,treats,13
99592,DRUG_83139,treats,13
4019,DRUG_00654,treats,13
4019,DRUG_09553,treats,13
4019,DRUG_56158,treats,13
42731,DRUG_83266,treats,13
4019,DRUG_83266,treats,13
4019,DRUG_75708,treats,13
4019,DRUG_64785,treats,13
41401,DRUG_79790,treats,13
53081,DRUG_93890,treats,13
25000,DRUG_78549,treats,13
486,DRUG_18769,treats,13
486,DRUG_78549,treats,13
2449,DRUG_18769,treats,13
5990,DRUG_16971,treats,13
2724,DRUG_65380,treats,13
2724,DRUG_56776,treats,13
2449,DRUG_12638,treats,13
2760,DRUG_18769,treats,13
311,DRUG_97910,treats,13
311,DRUG_36800,treats,13
78552,DRUG_36800,treats,13
3572,DRUG_09553,treats,13
3572,DRUG_97910,treats,13
51881,DRUG_18769,treats,13
51881,DRUG_78549,treats,13
42731,DRUG_90775,treats,13
5990,DRUG_18809,treats,13
V5861,DRUG_18769,treats,13
V5861,DRUG_78549,treats,13
4019,DRUG_06485,treats,13
5849,DRUG_38458,treats,12
2761,DRUG_12638,treats,12
2761,DRUG_65380,treats,12
2761,DRUG_83139,treats,12
2762,DRUG_97910,treats,12
4280,DRUG_24647,treats,12
25000,DRUG_65380,treats,12
42731,DRUG_64785,treats,12
41401,DRUG_83139,treats,12
5849,DRUG_00654,treats,12
5849,DRUG_09553,treats,12
5849,DRUG_05899,treats,12
2859,DRUG_65380,treats,12
53081,DRUG_97910,treats,12
53081,DRUG_36800,treats,12
51881,DRUG_17057,treats,12
5070,DRUG_36800,treats,12
25000,DRUG_56289,treats,12
25000,DRUG_05522,treats,12
70703,DRUG_09553,treats,12
99592,DRUG_15657,treats,12
99592,DRUG_65380,treats,12
4019,DRUG_22257,treats,12
4019,DRUG_05899,treats,12
4019,DRUG_81691,treats,12
4280,DRUG_93795,treats,12
4280,DRUG_31023,treats,12
5849,DRUG_64785,treats,12
2449,DRUG_93890,treats,12
41401,DRUG_93890,treats,12
99592,DRUG_94252,treats,12
0389,DRUG_94252,treats,12
78552,DRUG_93890,treats,12
5070,DRUG_93890,treats,12
78552,DRUG_97910,treats,12
2449,DRUG_94252,treats,12
2760,DRUG_78549,treats,12
2724,DRUG_56289,treats,12
42731,DRUG_39074,treats,12
5849,DRUG_81907,treats,12
5849,DRUG_94252,treats,12
3572,DRUG_56158,treats,12
3572,DRUG_07048,treats,12
3572,DRUG_36800,treats,12
3572,DRUG_39074,treats,12
42731,DRUG_51618,treats,12
42731,DRUG_09553,treats,12
42731,DRUG_56158,treats,12
42731,DRUG_07048,treats,12
25060,DRUG_09553,treats,12
25060,DRUG_97910,treats,12
2724,DRUG_17057,treats,12
4019,DRUG_51618,treats,12
4019,DRUG_77783,treats,12
5990,DRUG_90775,treats,12
4019,DRUG_90353,treats,12
4019,DRUG_65728,treats,12
4019,DRUG_85419,treats,12
5990,DRUG_69059,treats,12
2762,DRUG_36800,treats,11
4280,DRUG_42537,treats,11
4280,DRUG_97334,treats,11
25000,DRUG_85419,treats,11
41401,DRUG_64785,treats,11
5849,DRUG_82115,treats,11
5849,DRUG_07048,treats,11
2859,DRUG_15657,treats,11
2859,DRUG_79790,treats,11
2859,DRUG_56776,treats,11
2449,DRUG_17057,treats,11
51881,DRUG_05899,treats,11
51881,DRUG_56289,treats,11
51881,DRUG_56776,treats,11
0389,DRUG_65380,treats,11
5070,DRUG_97910,treats,11
70703,DRUG_15657,treats,11
70703,DRUG_07048,treats,11
70703,DRUG_56158,treats,11
70703,DRUG_17057,treats,11
70703,DRUG_39074,treats,11
99592,DRUG_05899,treats,11
99592,DRUG_17057,treats,11
4019,DRUG_57970,treats,11
42731,DRUG_00654,treats,11
42731,DRUG_66345,treats,11
5990,DRUG_22257,treats,11
5990,DRUG_65380,treats,11
4019,DRUG_81907,treats,11
5849,DRUG_06485,treats,11
2724,DRUG_83266,treats,11
5859,DRUG_36800,treats,11
99592,DRUG_16971,treats,11
4280,DRUG_89898,treats,11
78552,DRUG_12638,treats,11
2724,DRUG_18809,treats,11
25000,DRUG_31023,treats,11
4019,DRUG_90775,treats,11
5849,DRUG_90775,treats,11
311,DRUG_12638,treats,11
5990,DRUG_79790,treats,11
5849,DRUG_57538,treats,11
3572,DRUG_51618,treats,11
3572,DRUG_15657,treats,11
3572,DRUG_94252,treats,11
3572,DRUG_18809,treats,11
2449,DRUG_51618,treats,11
42731,DRUG_81907,treats,11
42731,DRUG_22257,treats,11
25060,DRUG_56158,treats,11
25060,DRUG_07048,treats,11
25060,DRUG_36800,treats,11
