drug_name,count,generic_name,atc_code,confidence,method
/lọ,36,,,,
/lọ acigmentin,1,amoxicillin and enzyme inhibitor,J01CR02,high,manual_dict
/lọ atsypax 600 (600mg,1,,,,
/lọ augmentin,2,amoxicillin and enzyme inhibitor,J01CR02,high,manual_dict
/lọ azipowder,1,,,,
/lọ biocemet sc,6,cefixime,J01DD08,high,manual_dict
/lọ cezinco,1,zinc,A12CB,medium,manual_dict
/lọ desbebe,2,,,,
/lọ dung dịch xịt mũi sterimar blocked nose baby,2,,,,
/lọ dung dịch xịt mũi sterimar nose hygiene and comfort,1,,,,
/lọ fibrofin-145,2,,,,
/lọ imefed,1,cefixime,J01DD08,high,manual_dict
/lọ klacid,11,clarithromycin,J01FA09,high,manual_dict
/lọ montelukast normon,1,montelukast,R03DC03,high,manual_dict
/lọ nitidine,1,ranitidine,A02BA02,fuzzy_0.89,fuzzy_match
/lọ olesom,8,,,,
/lọ penzima,1,,,,
/lọ siro ho haspan,3,cough preparation,R05,medium,manual_dict
/lọ tiphapred e,1,methylprednisolone,H02AB04,high,manual_dict
/lọ zaromax,2,azithromycin,J01FA10,high,manual_dict
a.t calci sac,1004,calcium,A12AA,medium,manual_dict
a.t calcium cort,113,calcium,A12AA,high,manual_dict
a.t hoạt huyết dưỡng,1396,herbal preparation,V,medium,manual_dict
a.t lục vị,9,,,,
a.t magnesi b6 plus,145,,,,
a.t mequitazine,1,mequitazine,R06AD07,fuzzy_1.00,fuzzy_match
a.t nicorandil,890,nicorandil,C01DX16,high,manual_dict
a.t silymarin,308,silymarin,A05BA03,high,manual_dict
abbsin 200,11,,,,
abr complex restoring cream,3,,,,
abricotis,14,biotin,A11HA05,fuzzy_0.67,fuzzy_match
acc,2,,,,
acepental,5,tapentadol,N02AX06,fuzzy_0.74,fuzzy_match
aceralgin,155,cefalexin,J01DB01,fuzzy_0.67,fuzzy_match
acetilax,29,guacetisal,N02BA14,fuzzy_0.67,fuzzy_match
acetuss,54,abetimus,L04AA22,fuzzy_0.67,fuzzy_match
aciclovir,1,aciclovir,D06BB03,fuzzy_1.00,fuzzy_match
acigmentin,1214,amoxicillin and enzyme inhibitor,J01CR02,high,manual_dict
acriptega,2,,,,
actre,51,acitretin,D05BB02,fuzzy_0.71,fuzzy_match
ad tamy,799,,,,
adacine,64,amsacrine,L01XX01,fuzzy_0.75,fuzzy_match
afenacol,422,diclofenac,M01AB05,high,manual_dict
agi-calci,6,alginic acid,A02BX13,fuzzy_0.67,fuzzy_match
agicardi,8577,acetylsalicylic acid,B01AC06,high,manual_dict
agifamcin,1,rifamycin,A07AA13,fuzzy_0.78,fuzzy_match
agifovir,157,aciclovir,D06BB03,fuzzy_0.71,fuzzy_match
agifuros,241,tafluprost,S01EE05,fuzzy_0.67,fuzzy_match
agilecox,1,valdecoxib,M01AH03,fuzzy_0.67,fuzzy_match
agimstan,607,fimasartan,C09CA10,fuzzy_0.67,fuzzy_match
agimstan-h,2,,,,
agiosmin,2,diosmin,C05CA03,fuzzy_0.80,fuzzy_match
agitritine,433,amitriptyline,N06AA09,fuzzy_0.78,fuzzy_match
ahevip,13,,,,
aklevo 500,37,,,,
alanboss xl,11,,,,
alavir - e,32,,,,
alegysal,11,,,,
alfa-lipogamma 600 oral,156,,,,
algostase,9,diastase,A09AA01,fuzzy_0.71,fuzzy_match
alkidazol,46,azanidazole,G01AF13,fuzzy_0.70,fuzzy_match
allergoff® skin barrier oil for therapeutic baths/ allergoff® barierowa oliwka do kąpieli leczniczych,100,,,,
almed - probiotic moisture rich cream for face & body,130,,,,
alphadaze -,15,,,,
alphamom,1,,,,
"alphavimin 100mg; 1mg; 1,15mg; 2mg; 133,35iu; 5mg; 6,65mg; 3,35mg",113,,,,
alsiful s.r. tablets,70,,,,
"alumag- s (800,4mg",81,alum,S01XA07,fuzzy_0.80,fuzzy_match
am-xodin,263,famotidine,A02BA03,fuzzy_0.67,fuzzy_match
amaloris,1878,amlodipine,C08CA01,high,manual_dict
amebismo,288,,,,
amlodipine stella,25,amlodipine,C08CA01,high,manual_dict
amlodipine/atorvastatin normon,6,atorvastatin,C10AA05,medium,manual_dict
amlor,112,amiloride,C03DB01,fuzzy_0.71,fuzzy_match
amoxicillin/ acid clavulanic sandoz gmbh,21,amoxicillin,J01CA04,high,manual_dict
amvifuxime 250,43,,,,
anbaescin,454,kanamycin,A07AA08,fuzzy_0.67,fuzzy_match
anbapirex 400mg,137,,,,
ancitic,158,ancestim,L03AA12,fuzzy_0.67,fuzzy_match
antibavir,20,maribavir,J05AX10,fuzzy_0.78,fuzzy_match
antikans,1298,amoxicillin and enzyme inhibitor,J01CR02,high,manual_dict
anvo-gefitinib,5,gefitinib,L01EB01,fuzzy_1.00,fuzzy_match
apbezo,89,,,,
apidogrel 75,1,clopidogrel,B01AC04,fuzzy_0.70,fuzzy_match
apidra solostar+4 đầu kim pen ndl,36,,,,
apirison 50,569,,,,
apitim,1946,amlodipine,C08CA01,high,manual_dict
apixodin dt,1458,desloratadine,R06AX27,high,manual_dict
aprovel,7,apronal,N05CM12,fuzzy_0.71,fuzzy_match
arbitel-am,35,barbital,N05CA04,fuzzy_0.67,fuzzy_match
arginin av,4,,,,
arimidex,24,carbamide,B05BC02,fuzzy_0.71,fuzzy_match
aromasin,4,promazine,N05AA03,fuzzy_0.71,fuzzy_match
arthroease,1,,,,
asbesone,22,budesonide,A07EA06,fuzzy_0.67,fuzzy_match
asosalic,640,salicylic acid,D01AE12,high,manual_dict
aspirin,1431,acetylsalicylic acid,B01AC06,high,manual_dict
aspirin stella,31,acetylsalicylic acid,B01AC06,high,manual_dict
