drug_name,count
agicardi,8577
partamol tab.,6955
atorvastatin,6946
tunadimet,5587
esomeprazol,5497
kapredin,5054
concor cor,4043
atisyrup zinc,3787
glumeform,3666
dacolfort,3660
rotinvast,3411
lacisartan hct,3279
dogrelsavi,3209
midantin,2793
calciferat,2769
gastevin,2665
losartan dwp,2614
pharbacol,2505
imerixx,2480
methocarbamol mcn,2360
lowsta,2350
betahistin,2333
ripratine,2303
atirin suspension,2212
siro ho haspan,2210
hapacol,2150
kavasdin,2149
ridolip s,2145
silverzinc,2043
apitim,1946
bolabio 10^9 cfu,1890
amaloris,1878
etoricoxib,1866
tiphapred m,1850
stadnex 20 cap,1790
hoastex,1775
gabapentin,1693
fefasdin,1675
huntelaar,1625
simvastatin savi,1542
jardiance,1529
tracardis,1526
glimsure,1520
valsgim,1506
drotusc forte,1499
etofride 50,1477
vastanic,1476
apixodin dt,1458
aspirin,1431
a.t hoạt huyết dưỡng,1396
bisoprolol,1378
fluvastatin dwp,1368
capesto 40,1364
valsgim-h,1337
meyerexcold,1309
antikans,1298
usaralphar,1251
metformin,1238
acigmentin,1214
pegaset,1204
auroliza,1204
isoday,1189
bluemint,1171
atirin 10 (viên),1136
capsicin gel,1077
drotusc,1066
lacikez,1049
empagliflozin,1018
laci-eye,1016
a.t calci sac,1004
gikanin,1004
biocemet sc,996
bividiac,992
greatcet 325mg,983
b-coenzyme,970
savi candesartan,961
idatril,954
ketoproxin,951
entacron,927
atelec tablets,925
mivifort,917
mitiquapril,916
cepmaxlox,909
toricam capsules,897
bluecan forte,897
a.t nicorandil,890
curam,848
atoris,846
wosulin,801
ad tamy,799
fezidat,798
dexibuprofen,797
fluvastatin,775
gliclada,766
glutowin plus,755
klacid,752
sadapron,729
metronidazol,718
glucophage xr,716
mohizi,714
penzima,708
cezinco,704
glucophage ® xr,681
felodipine stella,674
desbebe,670
imefed sc,670
kaflovo,665
savimetoc,665
lipanthyl 200m,659
galvus,654
bicelor 375 dt.,650
novahexin,649
stamlo-t,643
asosalic,640
olanxol,640
debomin,640
vinfoxin,636
camzitol,634
medoome,632
benfosafe,627
tahero,617
famodin,612
agimstan,607
mitipizid,605
ezechol,599
nitidine,589
savnopain,588
súc họng miệng plasmakare chai,585
nakibu,583
sun-levorizin,578
lisoril-10,576
augmentin,575
lipagim,570
apirison 50,569
wizosone,562
biosubtyl-ii 10^7-10^8 cfu/250mg,562
enterobella 1.109 -2.109 cfu,560
dipatin,560
vt-amlopril,552
pracetam,531
domela,529
zopinox,526
fumagate,525
bominity,521
celecoxib,516
mft- cefaclor,515
sucrafil suspension,512
b12 ankermann,505
tanganil,498
dryches,497
ozanta,491
seazimin,489
bromhexin,486
zolmed,484
mezafen,483
mitipreni,466
nalordia,460
anbaescin,454
zaromax,453
dixirein tab,451
oresol,450
partamol- cafein 500mg,448
sanlein,446
melopower,446
palidso,442
mebisita,441
risperidon vpc,434
agitritine,433
ketoprofen ec dwp,431
zinsol,430
afenacol,422
dalekine,421
macrina,418
calcium hasan,415
zinkast,414
ridolip,414
eucol,409
gel dùng ngoài mangizeni,408
xalgetz,407
mibetel hct,404
novomix 30 flexpen + 3 đầu kim novofine,395
hantacid (220 mg,394
glumeben,394
imefed,391
betamaks,390
montelukast normon,390
smail,387
atormac,386
meglucon,386
imefed dt,384
dialamic,380
phlorofon odt,379
theroflan,379
vilason-50,376
rebamipide,373
fascapin-20,365
golheal,358
metazydyna,356
stadlacil,353
thyrozol,349
breezol,343
spinolac fort,342
gaptinew,326
qcozetax,317
navaldo,315
bacterocin oint.,312
phlebodia,309
a.t silymarin,308
lacosepicyn,307
rinalix-xepa,307
daquetin,305
daiclo,305
meyerproxen,304
neosamin forte,301
capriles,300
glimepirid dwp,294
megazon,293
japiane,293
harnal ocas,293
prevlog,292
fitrofu,289
amebismo,288
bourabia-8,288
calcium - nic plus 550mg + 50mg,287
tenafin,284
smodir-dt,283
bioketoca,280
imexime,276
rivaroxaban-5a farma,274
glucovance,273
meyertenin,272
savidimin,270
levpiram,268
harotin,267
am-xodin,263
ivermectin 3 a.t,262
decolic-f,260
genituk,260
karvidil,254
kacerin,253
lipidorox,253
hidrasec,251
đầu kim pen ndl,251
savitelmihct,250
toujeo solostar+10 đầu kim pen ndl,249
benzina 10,249
ramipril,247
atorpa- e,245
ubinutro (30mg,242
agifuros,241
basaglar 300u/3ml,241
simecol,239
lornomeyer,238
conipa pure,237
dung dịch xịt mũi xoang plasmakare x-spray,236
cefcenat,236
đầu kim novofine,236
hydrocolacyl,236
bifehema,235
syxten,234
decolic f,232
raxnazole,230
nefolin,229
phostaligel nic,229
"thuốc ho trẻ em opc (16,2g",229
colchicina seid,226
ramipril-ac,225
clorpheniramin kp,220
tofisopam,219
mepoly (35mg,218
minbrom,217
ayite,217
tobradex,216
diltiazem dwp,216
ivacrig (huyết thanh kháng dại tinh chế),213
livosil,213
mylosulprid,212
lisinopril/hctz stada,212
pregabakern,208
dropstar,206
methylcobalamin capsules,206
gluzitop mr,206
creamec,204
lipitor,202
oflovid,199
delopedil,198
lupipezil,197
winmus,196
fibrofin-145,193
cystin-b6 boston 500 mg,191
nozaxen,188
basicillin,187
ivagim,187
kogimin,187
kitno,186
repaglinide tablets,186
imedoxim,184
kafedipin,184
savi sertraline,183
cravit,180
glencinone,180
bestimac q10,179
vicebrol,177
reboncel urea soft cream,176
vaco loratadine,175
disthyrox 100µg,173
venlafaxine stella,172
luvox,170
espumisan capsules,170
imruvat,169
seretide evohaler dc,169
hismedan,167
levothyrox,166
combiwave fb 200 (200mcg,165
kutab,165
dorithricin,162
opedulox,161
candisafe,160
irbeplus hct,158
ancitic,158
duphalac,158
agifovir,157
calcium lactate 300 tablets,157
alfa-lipogamma 600 oral,156
aceralgin,155
nicomen tablets,155
salgad,154
carbocistein,153
wzitamy tm (viên đặt âm đạo),153
ebitac forte,153
bamifen,146
metiny,145
a.t magnesi b6 plus,145
neorutin,139
mirzaten,138
anbapirex 400mg,137
uperio,136
winfla,134
tiphapred e,133
gel xịt mũi nasorin,133
tamvelier,132
galvus met,132
susol,131
savi ivabradine,130
almed - probiotic moisture rich cream for face & body,130
savi mesalazine 500,130
totcal soft capsule,130
kary uni,129
phong dan,129
"thuốc ho người lớn opc (16,2g",125
nacepil,123
syseye,121
tobrex,121
iba-mentin,120
combigan,120
hoạt huyết dưỡng não dược sư,118
palibone,117
eto,117
savi donepezil,117
mibiotin,116
a.t calcium cort,113
"alphavimin 100mg; 1mg; 1,15mg; 2mg; 133,35iu; 5mg; 6,65mg; 3,35mg",113
capesto,112
