drug_name,generic_name_guess,atc_code,count
/lọ,/lọ,,36
/lọ acigmentin,/lọ acigmentin,,1
/lọ atsypax 600 (600mg,/lọ atsypax 600 (600mg,,1
/lọ augmentin,/lọ augmentin,,2
/lọ azipowder,/lọ azipowder,,1
/lọ biocemet sc,/lọ biocemet sc,,6
/lọ cezinco,/lọ cezinco,,1
/lọ desbebe,/lọ desbebe,,2
/lọ dung dịch xịt mũi sterimar blocked nose baby,/lọ dung dịch xịt mũi sterimar blocked nose baby,,2
/lọ dung dịch xịt mũi sterimar nose hygiene and comfort,/lọ dung dịch xịt mũi sterimar nose hygiene and comfort,,1
/lọ fibrofin-145,/lọ fibrofin-145,,2
/lọ imefed,/lọ imefed,,1
/lọ klacid,/lọ klacid,,11
/lọ montelukast normon,/lọ montelukast normon,,1
/lọ nitidine,/lọ nitidine,,1
/lọ olesom,/lọ olesom,,8
/lọ penzima,/lọ penzima,,1
/lọ siro ho haspan,/lọ siro ho haspan,,3
/lọ tiphapred e,/lọ tiphapred e,,1
/lọ zaromax,/lọ zaromax,,2
a.t calci sac,a.t calci sac,,1004
a.t calcium cort,a.t calcium cort,,113
a.t hoạt huyết dưỡng,a.t hoạt huyết dưỡng,,1396
a.t lục vị,a.t lục vị,,9
a.t magnesi b6 plus,a.t magnesi b6,,145
a.t mequitazine,a.t mequitazine,,1
a.t nicorandil,a.t nicorandil,,890
a.t silymarin,a.t silymarin,,308
abbsin 200,abbsin,,11
abr complex restoring cream,abr complex restoring cream,,3
abricotis,abricotis,,14
acc,acc,,2
acepental,acepental,,5
aceralgin,aceralgin,,155
acetilax,acetilax,,29
acetuss,acetuss,,54
aciclovir,aciclovir,,1
acigmentin,acigmentin,,1214
acriptega,acriptega,,2
actre,actre,,51
ad tamy,ad tamy,,799
adacine,adacine,,64
afenacol,afenacol,,422
agi-calci,agi-calci,,6
agicardi,agicardi,,8577
agifamcin,agifamcin,,1
agifovir,agifovir,,157
agifuros,agifuros,,241
agilecox,agilecox,,1
agimstan,agimstan,,607
agimstan-h,agimstan-h,,2
agiosmin,agiosmin,,2
agitritine,agitritine,,433
ahevip,ahevip,,13
aklevo 500,aklevo,,37
alanboss xl,alanboss xl,,11
alavir - e,alavir - e,,32
alegysal,alegysal,,11
alfa-lipogamma 600 oral,alfa-lipogamma 600 oral,,156
algostase,algostase,,9
alkidazol,alkidazol,,46
allergoff® skin barrier oil for therapeutic baths/ allergoff® barierowa oliwka do kąpieli leczniczych,allergoff® skin barrier oil for therapeutic baths/ allergoff® barierowa oliwka do kąpieli leczniczych,,100
almed - probiotic moisture rich cream for face & body,almed - probiotic moisture rich cream for face & body,,130
alphadaze -,alphadaze -,,15
alphamom,alphamom,,1
"alphavimin 100mg; 1mg; 1,15mg; 2mg; 133,35iu; 5mg; 6,65mg; 3,35mg","alphavimin 100mg; 1mg; 1,15mg; 2mg; 133,35iu; 5mg; 6,65mg; 3,35mg",,113
alsiful s.r. tablets,alsiful s.r. tablets,,70
"alumag- s (800,4mg","alumag- s (800,4mg",,81
am-xodin,am-xodin,,263
amaloris,amaloris,,1878
amebismo,amebismo,,288
amlodipine stella,amlodipine,,25
amlodipine/atorvastatin normon,amlodipine/atorvastatin normon,,6
amlor,amlor,,112
amoxicillin/ acid clavulanic sandoz gmbh,amoxicillin/ acid clavulanic sandoz gmbh,,21
amvifuxime 250,amvifuxime,,43
anbaescin,anbaescin,,454
anbapirex 400mg,anbapirex 400mg,,137
ancitic,ancitic,,158
antibavir,antibavir,,20
antikans,antikans,,1298
anvo-gefitinib,anvo-gefitinib,,5
apbezo,apbezo,,89
apidogrel 75,apidogrel,,1
apidra solostar+4 đầu kim pen ndl,apidra solostar+4 đầu kim pen ndl,,36
apirison 50,apirison,,569
apitim,apitim,,1946
apixodin dt,apixodin,,1458
aprovel,aprovel,,7
arbitel-am,arbitel-am,,35
arginin av,arginin av,,4
arimidex,arimidex,,24
aromasin,aromasin,,4
arthroease,arthroease,,1
asbesone,asbesone,,22
asosalic,asosalic,,640
aspirin,aspirin,,1431
aspirin stella,aspirin,,31
aspirin tab dwp,aspirin tab dwp,,90
asstamid,asstamid,,4
asstrozol,asstrozol,,34
atelec tablets,atelec tablets,,925
aticizal,aticizal,,4
atiferlic,atiferlic,,7
atifibrate,atifibrate,,12
atihepam,atihepam,,11
"atihytalox plus (600mg + 599,8mg","atihytalox plus (600mg + 599,8mg",,2
atirin 10 (viên),atirin 10 (viên),,1136
atirin suspension,atirin suspension,,2212
atisaltolin,atisaltolin,,61
atisyrup zinc,atisyrup zinc,,3787
atoris,atoris,,846
atormac,atormac,,386
atorpa - e,atorpa - e,,1
atorpa- e,atorpa- e,,245
atorvastatin,atorvastatin,,6946
atsypax 600 (600mg,atsypax 600 (600mg,,28
auclanityl,auclanityl,,21
augmentin,augmentin,,575
auroliza,auroliza,,1204
ausmuco 750v,ausmuco 750v,,13
auzion 1000 (875mg,auzion 1000 (875mg,,67
avantomega,avantomega,,3
axeliv,axeliv,,14
ayite,ayite,,217
azaduo,azaduo,,3
azarga,azarga,,39
azipowder,azipowder,,20
azlobal 4,azlobal,,2
azopt,azopt,,55
b-coenzyme,b-coenzyme,,970
b12 ankermann,b12 ankermann,,505
babismo,babismo,,60
baclofen dwp,baclofen dwp,,60
bactamox,bactamox,,21
bacterocin oint.,bacterocin oint.,,312
bamifen,bamifen,,146
basaglar 300u/3ml,basaglar 300u/3ml,,241
basethyrox,basethyrox,,2
basicillin,basicillin,,187
bbcelat,bbcelat,,4
becatec,becatec,,45
benfosafe,benfosafe,,627
benzina 10,benzina,,249
bestimac q10,bestimac q10,,179
betahistin,betahistin,,2333
betahistin 24 a.t,betahistin 24 a.t,,76
betamaks,betamaks,,390
betaserc,betaserc,,54
beuticystine,beuticystine,,6
bexinclin,bexinclin,,45
bicelor 375 dt.,bicelor 375 dt.,,650
bifehema,bifehema,,235
bifril,bifril,,1
bifril15mg tablet 2x14's,bifril15mg tablet 2x14's,,1
bilclamos 312.5mg (250mg,bilclamos 312.5mg (250mg,,2
bilgrel,bilgrel,,86
biocemet dt,biocemet,,47
biocemet sc,biocemet sc,,996
bioketoca,bioketoca,,280
biosubtyl-ii 10^7-10^8 cfu/250mg,biosubtyl-ii 10^7-10^8 cfu/250mg,,562
biseptol 480,biseptol,,3
bisoprolol,bisoprolol,,1378
bisostad,bisostad,,40
bivantox 200 tab,bivantox 200,,108
"biviantac (800,4 mg","biviantac (800,4 mg",,2
bividiac,bividiac,,992
bixebra,bixebra,,16
bloci,bloci,,84
bluecan forte,bluecan,,897
bluemint,bluemint,,1171
bluemoxi,bluemoxi,,17
boganic,boganic,,10
bolabio 10^9 cfu,bolabio 10^9 cfu,,1890
bometan (50mcg,bometan (50mcg,,33
bominity,bominity,,521
bomitis,bomitis,,72
boncinco mỗi,boncinco mỗi,,18
boncium,boncium,,22
bosrelor,bosrelor,,42
bostekid 30mg granules,bostekid 30mg granules,,10
bourabia-8,bourabia-8,,288
bradirem,bradirem,,2
braiporin syrup,braiporin syrup,,3
breezol,breezol,,343
breztri aerosphere,breztri aerosphere,,2
bridotyl,bridotyl,,30
brilinta,brilinta,,99
brilinta tab,brilinta,,5
bromhexin,bromhexin,,486
bromtab 40 tablet,bromtab 40 tablet,,12
broncho-vaxom adults,broncho-vaxom adults,,1
brusonex,brusonex,,18
btozka,btozka,,1
butagan syrup,butagan syrup,,85
buvamed,buvamed,,3
bv levocin,bv levocin,,66
bvpalin,bvpalin,,73
bát trân,bát trân,,44
bút tiêm insulin-mypen,bút tiêm insulin-mypen,,111
bổ gan tiêu độc livsin-94,bổ gan tiêu độc livsin-94,,4
bổ tỳ dưỡng cốt thái dương,bổ tỳ dưỡng cốt thái dương,,1
caduet,caduet,,1
calci -d,calci -d,,1
calci-d3,calci-d3,,2
calciferat,calciferat,,2769
calcium - nic plus 550mg + 50mg,calcium - nic plus 550mg + 50mg,,287
calcium hasan,calcium hasan,,415
calcium lactate 300 tablets,calcium lactate 300 tablets,,157
calcolife,calcolife,,27
caltor,caltor,,81
calvin plus,calvin,,4
camzitol,camzitol,,634
candekern,candekern,,38
candesarmac,candesarmac,,85
candesartan dwp,candesartan dwp,,1
candisafe,candisafe,,160
capesto,capesto,,112
capesto 40,capesto,,1364
capriles,capriles,,300
capsicin gel,capsicin gel,,1077
captagim,captagim,,21
captopril stella,captopril,,18
carbamaz,carbamaz,,84
carbidopa/levodopa tablets,carbidopa/levodopa tablets,,5
carbocistein,carbocistein,,153
carthyal one,carthyal one,,6
cartijoints extra,cartijoints extra,,59
casodex,casodex,,1
cefass,cefass,,14
cefcenat,cefcenat,,236
cefimed,cefimed,,33
cehitas,cehitas,,29
celecoxib,celecoxib,,516
cenex cap,cenex,,59
cepmaxlox,cepmaxlox,,909
cepoxitil,cepoxitil,,4
ceradan diaper,ceradan diaper,,14
cetigam,cetigam,,1
cetirizin dwp,cetirizin dwp,,45
cezinco,cezinco,,704
cezmeta,cezmeta,,1
chimitol vaginal tablet,chimitol vaginal tablet,,13
chorlatcyn cao mật lợn khô,chorlatcyn cao mật lợn khô,,3
cilavef,cilavef,,56
cinnarizine sopharma,cinnarizine sopharma,,5
cinnarizine stada,cinnarizine,,24
cipro-denk,cipro-denk,,15
clamodia 625 fc tablets,clamodia 625 fc tablets,,70
clarie od,clarie,,37
clarisol-500,clarisol-500,,13
clarithromycin stella,clarithromycin,,29
clenmysol tab,clenmysol,,1
clindamycin eg,clindamycin eg,,43
clingel,clingel,,24
clonicap,clonicap,,29
clorpheniramin kp,clorpheniramin kp,,220
co-aprovel,co-aprovel,,4
co-diovan,co-diovan,,4
colchicina seid,colchicina seid,,226
colchicine stella,colchicine,,51
colocol suppo 150,colocol suppo,,3
colosar - denk 50/ 12.5,colosar - denk 50/ 12.5,,9
colosar-denk,colosar-denk,,24
combigan,combigan,,120
combiwave fb 200 (200mcg,combiwave fb 200 (200mcg,,165
conazonin,conazonin,,35
concor,concor,,99
concor cor,concor cor,,4043
concor cor tab,concor cor,,4
conipa pure,conipa pure,,237
cordamil,cordamil,,27
coveram 10-10 tab 10-10mg 30's,coveram 10-10 tab 10-10mg 30's,,1
coveram 5-5 tab,coveram 5-5,,2
coversyl plus,coversyl,,5
coversyl tab,coversyl,,4
cpr-sachabo,cpr-sachabo,,93
cravit,cravit,,180
creamec,creamec,,204
crederm ointment,crederm ointment,,1
crestor tab,crestor,,3
crila forte,crila,,10
cruderan,cruderan,,5
curam,curam,,848
cystin-b6 boston 500 mg,cystin-b6 boston 500 mg,,191
dacolfort,dacolfort,,3660
daiclo,daiclo,,305
dalekine,dalekine,,421
dapzin-10,dapzin-10,,94
daquetin,daquetin,,305
datviron,datviron,,40
debomin,debomin,,640
decolic,decolic,,1
decolic f,decolic f,,232
decolic-f,decolic-f,,260
delopedil,delopedil,,198
denk-air junior,denk-air junior,,82
depakine chrono,depakine chrono,,7
dermalight active illuminating cream,dermalight active illuminating cream,,4
desbebe,desbebe,,670
detanana,detanana,,6
dexibuprofen,dexibuprofen,,797
dialamic,dialamic,,380
diamicron mr,diamicron mr,,67
dicenin,dicenin,,110
diclowal supp,diclowal supp,,1
digazo,digazo,,64
diltiazem dwp,diltiazem dwp,,216
dimagel,dimagel,,4
dimonium,dimonium,,43
diosfort,diosfort,,46
diosfrot,diosfrot,,6
diovan,diovan,,1
