drug_name,count,generic_name,atc_code,confidence,method
ad tamy,799,,,,
fezidat,798,,,,
glutowin plus,755,,,,
mohizi,714,,,,
penzima,708,,,,
desbebe,670,,,,
savimetoc,665,,,,
galvus,654,,,,
novahexin,649,,,,
medoome,632,,,,
súc họng miệng plasmakare chai,585,,,,
lipagim,570,,,,
apirison 50,569,,,,
vt-amlopril,552,,,,
domela,529,,,,
bominity,521,,,,
tanganil,498,,,,
dryches,497,,,,
zolmed,484,,,,
mebisita,441,,,,
eucol,409,,,,
gel dùng ngoài mangizeni,408,,,,
xalgetz,407,,,,
smail,387,,,,
atormac,386,,,,
phlorofon odt,379,,,,
vilason-50,376,,,,
fascapin-20,365,,,,
metazydyna,356,,,,
navaldo,315,,,,
bacterocin oint.,312,,,,
phlebodia,309,,,,
rinalix-xepa,307,,,,
lacosepicyn,307,,,,
neosamin forte,301,,,,
prevlog,292,,,,
amebismo,288,,,,
bourabia-8,288,,,,
smodir-dt,283,,,,
bioketoca,280,,,,
decolic-f,260,,,,
genituk,260,,,,
lipidorox,253,,,,
hidrasec,251,,,,
đầu kim pen ndl,251,,,,
toujeo solostar+10 đầu kim pen ndl,249,,,,
benzina 10,249,,,,
atorpa- e,245,,,,
ubinutro (30mg,242,,,,
basaglar 300u/3ml,241,,,,
lornomeyer,238,,,,
conipa pure,237,,,,
hydrocolacyl,236,,,,
đầu kim novofine,236,,,,
dung dịch xịt mũi xoang plasmakare x-spray,236,,,,
syxten,234,,,,
decolic f,232,,,,
"thuốc ho trẻ em opc (16,2g",229,,,,
mepoly (35mg,218,,,,
minbrom,217,,,,
ayite,217,,,,
ivacrig (huyết thanh kháng dại tinh chế),213,,,,
gluzitop mr,206,,,,
creamec,204,,,,
oflovid,199,,,,
winmus,196,,,,
fibrofin-145,193,,,,
cystin-b6 boston 500 mg,191,,,,
ivagim,187,,,,
kogimin,187,,,,
kitno,186,,,,
cravit,180,,,,
bestimac q10,179,,,,
disthyrox 100µg,173,,,,
espumisan capsules,170,,,,
luvox,170,,,,
imruvat,169,,,,
seretide evohaler dc,169,,,,
hismedan,167,,,,
combiwave fb 200 (200mcg,165,,,,
kutab,165,,,,
opedulox,161,,,,
candisafe,160,,,,
duphalac,158,,,,
irbeplus hct,158,,,,
alfa-lipogamma 600 oral,156,,,,
nicomen tablets,155,,,,
salgad,154,,,,
ebitac forte,153,,,,
wzitamy tm (viên đặt âm đạo),153,,,,
a.t magnesi b6 plus,145,,,,
anbapirex 400mg,137,,,,
winfla,134,,,,
gel xịt mũi nasorin,133,,,,
tamvelier,132,,,,
galvus met,132,,,,
susol,131,,,,
totcal soft capsule,130,,,,
almed - probiotic moisture rich cream for face & body,130,,,,
phong dan,129,,,,
kary uni,129,,,,
"thuốc ho người lớn opc (16,2g",125,,,,
syseye,121,,,,
tobrex,121,,,,
eto,117,,,,
"alphavimin 100mg; 1mg; 1,15mg; 2mg; 133,35iu; 5mg; 6,65mg; 3,35mg",113,,,,
gastro-bisal tablet,109,,,,
bivantox 200 tab,108,,,,
vigamox,107,,,,
venosan retard,106,,,,
hepaqueen plus,106,,,,
opedulox 40,102,,,,
allergoff® skin barrier oil for therapeutic baths/ allergoff® barierowa oliwka do kąpieli leczniczych,100,,,,
dopegyt,100,,,,
oprymea,95,,,,
miticilux,95,,,,
rutantop,95,,,,
linatab tablet,94,,,,
dapzin-10,94,,,,
cpr-sachabo,93,,,,
vincestad,93,,,,
domuvar 2x10^9 cfu/5ml,90,,,,
apbezo,89,,,,
lotemax,87,,,,
bilgrel,86,,,,
butagan syrup,85,,,,
vesifix,85,,,,
maxibumol fort,85,,,,
rifaliv,85,,,,
denk-air junior,82,,,,
kaclocide plus,81,,,,
lacves,80,,,,
zynadex,79,,,,
lacosoxicron,78,,,,
xịt tai etikon,78,,,,
dung dịch súc miệng - họng supowat,77,,,,
polymer che phủ bảo vệ vết thương healit rectan,76,,,,
xịt,76,,,,
eskar vita,74,,,,
đặt âm đạo,71,,,,
alsiful s.r. tablets,70,,,,
clamodia 625 fc tablets,70,,,,
pred forte,70,,,,
dloe,69,,,,
esdopa-40,69,,,,
pancal,69,,,,
đặt âm đạo gel dùng ngoài mangizeni,69,,,,
fucipa,68,,,,
tavulop,68,,,,
plasmakare nasal clean (hộp 01 bình,68,,,,
meyerdabiga,68,,,,
auzion 1000 (875mg,67,,,,
fixco,64,,,,
udexcale,64,,,,
fudophar,63,,,,
ysp-biotase,61,,,,
babismo,60,,,,
cenex cap,59,,,,
reboncel ac gel,59,,,,
pataday,58,,,,
meyernazid,57,,,,
cilavef,56,,,,
azopt,55,,,,
ibutop,55,,,,
olesom,54,,,,
pen ndl,54,,,,
diquas,53,,,,
dr.pharti acne gone,53,,,,
fenostad 67,53,,,,
đặt âm đạo candisafe,50,,,,
femadex,48,,,,
gel xịt miệng - họng nacato,47,,,,
diosfort,46,,,,
sitavia,46,,,,
becatec,45,,,,
rheumatic,45,,,,
fosmitic,45,,,,
bát trân,44,,,,
silymax complex,43,,,,
amvifuxime 250,43,,,,
vein plus,42,,,,
santafer,42,,,,
β-hist,42,,,,
bosrelor,42,,,,
reduze,41,,,,
"pulmicort respules (0.25mg/1ml, ống",40,,,,
nolvadex-d,40,,,,
thập toàn đại bổ (908mg,40,,,,
savinapeso,39,,,,
azarga,39,,,,
savidimin (500mg),38,,,,
seacaminfort,37,,,,
vitasun tab,37,,,,
aklevo 500,37,,,,
xịt seretide evohaler dc,37,,,,
clarie od,37,,,,
glivt,36,,,,
apidra solostar+4 đầu kim pen ndl,36,,,,
runor,36,,,,
osvimec,36,,,,
/lọ,36,,,,
spiriva respimat,35,,,,
ebifanz,34,,,,
lercatop,34,,,,
livernin-dh,34,,,,
bometan (50mcg,33,,,,
glizym-m,33,,,,
divara,32,,,,
smecta,32,,,,
alavir - e,32,,,,
symbicort rapihaler,31,,,,
polymer che phủ bảo vệ vết thương healit,31,,,,
regulon,31,,,,
hovinlex,30,,,,
atsypax 600 (600mg,28,,,,
lanam sc,27,,,,
perfeclly,27,,,,
mariprax,27,,,,
ysp- biotase,27,,,,
kavosnor forte,27,,,,
telodrop mỗi,26,,,,
glumarix 20mg; 612mg,26,,,,
gel tra mắt eyegel,26,,,,
philurso,26,,,,
queitoz-50,25,,,,
turbe,25,,,,
vastarel mr tab,25,,,,
colosar-denk,24,,,,
dung dịch xịt mũi sterimar nose hygiene and comfort,24,,,,
"zencombi (2,5mg",24,,,,
esojay,23,,,,
zemfuva,23,,,,
lambertu,23,,,,
solamup 60,22,,,,
fentimeyer 600,22,,,,
humalog mix50 kwikpen+3 pen ndl,21,,,,
valdes,21,,,,
auclanityl,21,,,,
azipowder,20,,,,
hiruscar post acne gel,20,,,,
tobidex (15mg,20,,,,
taxedac eye drops (25mg,19,,,,
effixent,19,,,,
vinsalamin 500,19,,,,
ranexicor,19,,,,
boncinco mỗi,18,,,,
mosad mt,18,,,,
midamox,18,,,,
nocutil,18,,,,
spulit,18,,,,
pecflu,18,,,,
zynadex 40,18,,,,
turbezid,18,,,,
tramazetan plus,17,,,,
dr max comforcare ice spray,17,,,,
bluemoxi,17,,,,
exfast,16,,,,
symbicort turbuhaler,16,,,,
dung dịch xịt mũi sterimar blocked nose baby,16,,,,
pyme diapro mr,16,,,,
bixebra,16,,,,
risdontab,15,,,,
alphadaze -,15,,,,
xyzsac,15,,,,
cefass,14,,,,
dung dịch xịt mũi sterimar allergic nose,14,,,,
soshydra,14,,,,
axeliv,14,,,,
melanov-m,14,,,,
ceradan diaper,14,,,,
ahevip,13,,,,
clarisol-500,13,,,,
rabzak,13,,,,
chimitol vaginal tablet,13,,,,
ausmuco 750v,13,,,,
htnesoum,13,,,,
postezatal gold,13,,,,
maxibumol,13,,,,
fave di fuca hydralax,12,,,,
imenir,12,,,,
xịt syxten,12,,,,
